date,ticker,pattern,score,structure,volume,readiness,regime,accum_ratio,volume_ratio,height_pct,touches,hold_return,hold_win,mfe,mae,market_return,market_beat,traded,trade_return,exit_reason
2023-04-14,BKNG,volatility_compression,25.1,8.6,7.6,8.8,bull_medium,0.538,0.76,10.7,0,0.02064604228081146,True,0.034149304494367705,-0.020767686503166405,0.004807374728515557,True,True,-0.03552953563458583,stop
2023-04-14,F,symmetrical_triangle,25.1,10.8,6.1,8.2,bull_medium,0.538,0.82,15.5,4,-0.037729842185259876,False,0.020800065426522796,-0.0759999850942702,0.004807374728515557,False,True,-0.04872224278388415,stop
2023-04-14,KO,volatility_compression,25.0,5.5,10.0,9.4,bull_medium,0.615,0.68,5.6,0,0.013108024115210615,True,0.026373989119450103,-0.0033165241219969,0.004807374728515557,True,True,0.023266432496374945,target
2023-04-14,AWK,volatility_compression,24.9,8.8,11.0,5.1,bull_medium,0.692,0.62,12.0,0,-0.014819132683454472,False,0.016680283212736624,-0.039872414802861966,0.004807374728515557,False,False,,no_trigger
2023-04-14,CTAS,flat_base,24.9,8.2,11.4,5.2,bull_medium,0.692,0.92,10.0,0,-0.012309234663561042,False,0.013132411110430287,-0.04953964565052282,0.004807374728515557,False,False,,no_trigger
2023-04-14,ANET,bull_flag,24.7,11.0,10.9,2.8,bull_medium,0.769,0.62,17.7,0,-0.02650134024511075,False,0.007476268512016659,-0.07397275621747879,0.004807374728515557,False,False,,no_trigger
2023-04-14,DRI,flat_base,24.7,11.7,7.3,5.8,bull_medium,0.538,0.97,16.2,0,-0.007836436132360847,False,0.0035916396227482217,-0.04721475151719534,0.004807374728515557,False,False,,no_trigger
2023-04-14,BLDR,volatility_compression,24.7,10.3,4.5,10.0,bull_medium,0.462,1.24,16.4,0,0.00701302761060929,True,0.029752449618513976,-0.0426097344620503,0.004807374728515557,True,True,-0.04113624408206207,stop
2023-04-14,FICO,flat_base,24.7,11.8,6.6,6.2,bull_medium,0.615,0.44,19.2,0,0.0389193637841867,True,0.08180625666978592,-0.02083686667030782,0.004807374728515557,True,True,0.050459037073375956,target
2023-04-14,ECL,volatility_compression,24.6,7.4,11.6,5.7,bull_medium,0.692,0.7,8.5,0,0.037394178462986094,True,0.03999012498905641,-0.0016069875618086593,0.004807374728515557,True,True,0.0016821625277898544,time
2023-04-14,AAPL,bull_flag,24.5,6.0,10.6,8.0,bull_medium,0.846,0.82,4.3,0,0.0278028265480057,True,0.028832649091140805,-0.01387128710991048,0.004807374728515557,True,True,0.015082924613076587,time
2023-04-14,AMZN,volatility_compression,24.4,5.8,10.5,8.1,bull_medium,0.615,0.89,8.3,0,0.022198460690574073,True,0.07464130161785176,-0.017157853912630916,0.004807374728515557,True,True,0.009187452849480193,time
2023-04-14,COO,flat_base,24.4,13.5,4.3,6.6,bull_medium,0.538,0.58,19.5,0,0.022352678099115897,True,0.04068508673754789,-0.009568162061588281,0.004807374728515557,True,True,0.004583806465107143,time
2023-04-14,FAST,flat_base,24.4,12.7,7.6,4.1,bull_medium,0.538,1.46,18.0,0,0.010902377618729142,True,0.02835295167619556,-0.018200572361663947,0.004807374728515557,True,False,,no_trigger
2023-04-14,CRH,flat_base,24.4,12.3,9.4,2.7,bull_medium,0.692,0.67,17.4,0,-0.014628145772321077,False,0.019910610666856732,-0.029053233028156877,0.004807374728515557,False,False,,no_trigger
2023-04-14,ANET,flat_base,24.3,10.6,10.9,2.8,bull_medium,0.769,0.62,16.9,0,-0.02650134024511075,False,0.007476268512016659,-0.07397275621747879,0.004807374728515557,False,False,,no_trigger
2023-04-14,APP,volatility_compression,24.3,11.8,3.7,8.8,bull_medium,0.462,0.8,21.9,0,0.035953696409140035,True,0.05667277963579287,-0.060938452729949466,0.004807374728515557,True,True,-0.06153846153846154,stop
2023-04-14,BEN,symmetrical_triangle,24.2,11.8,10.9,1.5,bull_medium,0.692,0.83,19.1,5,0.011286678309900378,True,0.023325892732113163,-0.022197065257205884,0.004807374728515557,True,True,0.011286678309900378,time
2023-04-14,EIX,volatility_compression,24.2,9.4,10.2,4.7,bull_medium,0.615,0.69,12.1,0,0.025498096251677538,True,0.03246503040813198,-0.004458683430287325,0.004807374728515557,True,True,0.0013604724798619294,time
2023-04-14,FANG,bull_flag,24.1,6.0,10.0,8.1,bull_medium,0.692,0.74,3.3,0,-0.030938967563913344,False,0.004157016406681091,-0.07673441779716428,0.004807374728515557,False,False,,no_trigger
2023-04-14,CAH,volatility_compression,24.1,11.7,3.5,8.9,bull_medium,0.308,0.8,16.3,0,0.01684402890216785,True,0.021055125252503748,-0.027495724479215222,0.004807374728515557,True,True,0.009349437774863745,time
2023-04-14,EIX,flat_base,24.1,11.3,8.2,4.7,bull_medium,0.615,0.69,15.5,0,0.025498096251677538,True,0.03246503040813198,-0.004458683430287325,0.004807374728515557,True,True,0.0013604724798619294,time
2023-04-14,BDX,volatility_compression,24.1,7.1,9.9,7.0,bull_medium,0.615,0.82,9.0,0,0.03266262466748504,True,0.03563197514062044,-0.009689434266841657,0.004807374728515557,True,True,0.02551947877836791,time
2023-04-14,CTVA,volatility_compression,24.0,8.8,9.5,5.6,bull_medium,0.615,0.61,12.0,0,-0.021296990986762188,False,0.009767828499672504,-0.051881411055010984,0.004807374728515557,False,False,,no_trigger
2023-04-14,DVN,volatility_compression,24.0,12.2,2.7,9.1,bull_medium,0.308,0.59,19.8,0,-0.03885604598297687,False,0.010793280670519545,-0.0753733532695271,0.004807374728515557,False,False,,no_trigger
2023-04-14,DELL,flat_base,24.0,12.3,4.4,7.3,bull_medium,0.462,0.99,18.3,0,0.026116913243541928,True,0.06783615640229779,-0.02154382653280229,0.004807374728515557,True,True,-0.03761287101438848,stop
